Sexo,Estacao,LC,CC
Macho,Chuvosa,74,53
Macho,Chuvosa,68,52
Macho,Chuvosa,66,51
Macho,Chuvosa,70,54
Macho,Chuvosa,70,49
Macho,Chuvosa,67,57
Macho,Chuvosa,67,48
Macho,Chuvosa,76,45
Macho,Chuvosa,63,48
Macho,Chuvosa,60,45
Macho,Chuvosa,68,48
Macho,Chuvosa,71,48
Macho,Chuvosa,64,45
Macho,Chuvosa,66,50
Macho,Chuvosa,73,49
Macho,Chuvosa,66,44
Macho,Chuvosa,69,53
Macho,Chuvosa,75,55
Macho,Chuvosa,67,48
Macho,Chuvosa,67,51
Macho,Chuvosa,69,48
Macho,Chuvosa,62,47
Macho,Chuvosa,68,48
Macho,Chuvosa,72,55
Macho,Chuvosa,73,50
Macho,Chuvosa,73,49
Macho,Chuvosa,78,57
