"data","dia.do.ano","t.media","t.max","t.min","chuva","ur","estacao"
2009-03-10,69,24.7545833333333,28.86,23.24,16.2,91.7291666666667,"Verão"
2009-03-11,70,24.1354166666667,26.55,22.78,15.4,90.8625,"Verão"
2009-03-12,71,23.9514583333333,28.38,22.29,5,89.18125,"Verão"
2009-03-13,72,24.184375,26.91,22.22,10.6,89.4395833333333,"Verão"
2009-03-14,73,25.2089583333333,29.95,23.15,2.8,85.7208333333333,"Verão"
2009-03-15,74,24.3479166666667,28.4,23.05,20.2,91.8729166666667,"Verão"
2009-03-16,75,24.44625,28.56,22.54,5.4,88.775,"Verão"
2009-03-17,76,25.1375,29.02,22.49,0.2,85.5420833333333,"Verão"
2009-03-18,77,25.424375,30.74,23.07,0.2,85.1714583333333,"Verão"
2009-03-19,78,24.9360416666667,30.39,22.87,3.6,89.5347916666667,"Verão"
2009-03-20,79,25.28125,27.81,23.03,0.4,87.4229166666667,"Verão"
2009-03-21,80,25.026875,27.76,23.54,0.4,89.63125,"Outono"
2009-03-22,81,24.0208333333333,28.64,21.62,21.8,91.6583333333333,"Outono"
2009-03-23,82,25.2147916666667,29.06,21.66,0.2,81.2972916666667,"Outono"
2009-03-24,83,23.7525,25.45,22.34,13.8,91.3166666666667,"Outono"
2009-03-25,84,23.5922916666667,28.95,22.14,36,93.1541666666667,"Outono"
2009-03-26,85,24.9947916666667,30.6,21.67,1,84.9133333333333,"Outono"
2009-03-27,86,24.9527083333333,29.93,22.99,0.4,88.1179166666667,"Outono"
2009-03-28,87,26.1197916666667,31.02,22.82,0.4,81.909375,"Outono"
2009-03-29,88,24.6625,29.4,22.84,12.6,89.9804166666667,"Outono"
2009-03-30,89,23.95875,27.66,22.36,2.8,91.05,"Outono"
2009-03-31,90,26.0716666666667,30.7,22.79,0.2,80.5495833333333,"Outono"
2009-04-01,91,24.5733333333333,30.26,22.42,44,88.4616666666667,"Outono"
2009-04-02,92,25.146875,30.83,21.76,10,82.8977083333333,"Outono"
2009-04-03,93,25.199375,29.93,22.18,0,83.1204166666667,"Outono"
2009-04-04,94,26.5710416666667,31.48,23.07,0,79.5439583333333,"Outono"
2009-04-05,95,26.01,30.61,23.65,0,83.7747916666667,"Outono"
2009-04-06,96,26.183125,31.01,23.31,0,82.095625,"Outono"
2009-04-07,97,26.0895833333333,31.72,22.18,20.6,80.3497916666667,"Outono"
2009-04-08,98,24.8789583333333,29.55,21.59,0.4,84.6275,"Outono"
2009-04-09,99,26.8270833333333,30.52,24.09,0.4,77.9739583333333,"Outono"
2009-04-10,100,24.70625,27.8,22.74,23.2,89.0291666666667,"Outono"
2009-04-11,101,23.5766666666667,26.31,22.51,2.4,93.9645833333333,"Outono"
2009-04-12,102,25.49875,30.58,21.61,0.2,83.8375,"Outono"
2009-04-13,103,26.1685416666667,30.85,23.06,0.6,82.0820833333333,"Outono"
2009-04-14,104,25.3491666666667,28.91,23.77,3.6,87.94875,"Outono"
2009-04-15,105,25.3197916666667,29.33,23.53,0,87.3520833333333,"Outono"
2009-04-16,106,24.3458333333333,29.24,22.66,17.4,90.5247916666667,"Outono"
2009-04-17,107,25.94375,30.82,22.3,0.4,81.579375,"Outono"
2009-04-18,108,25.306875,29.72,23.85,1.4,88.1677083333333,"Outono"
2009-04-19,109,24.2841666666667,28.54,22.9,33.6,91.6645833333333,"Outono"
2009-04-20,110,24.396875,29.98,22.26,12.8,91.1841666666667,"Outono"
2009-04-21,111,25.3564583333333,29.95,23.31,3.6,90.73625,"Outono"
2009-04-22,112,26.2697916666667,30.61,24.26,11.6,85.4347916666667,"Outono"
2009-04-23,113,27.078125,31.02,23.88,0.4,78.9191666666667,"Outono"
2009-04-24,114,27.2827083333333,31.78,23.53,0,76.0158333333333,"Outono"
2009-04-25,115,26.3683333333333,31.51,23.59,10.2,82.5285416666667,"Outono"
2009-04-26,116,25.0402083333333,29.74,23.14,13,90.34875,"Outono"
2009-04-27,117,24.496875,30.03,22.89,18,92.6408333333333,"Outono"
2009-04-28,118,24.4758333333333,29.82,23.06,8.6,91.6610416666667,"Outono"
2009-04-29,119,25.4995833333333,29.8,22.68,11.4,87.7610416666667,"Outono"
2009-04-30,120,24.6477083333333,28.61,23.04,36.6,89.7375,"Outono"
2009-05-01,121,23.93375,28.46,22.27,22.4,90.6879166666667,"Outono"
