Sexo;x;y
m;22,5;32,6
m;32,6;40
m;40;46,6
m;46,6;51,9
m;51,9;57
m;57;61,9
m;61,9;66,7
m;66,7;71,4
m;71,4;76,1
m;76,1;82,7
m;82,7;88,2
m;88,2;93,5
m;93,5;97,2
m;97,2;100
f;24,5;32,8
f;32,8;39,3
f;39,3;44,4
f;44,4;48,8
f;48,8;53
f;53;57
f;57;60,9
f;60,9;64,7
f;64,7;67,9
f;67,9;70,3
