compr
5.4
9.1
6.5
7.2
8.2
6.4
9.2
5.2
6.2
6.0
7.1
5.4
7.4
6.2
6.4
5.8
6.1
5.6
8.1
6.9
6.0
6.5
5.9
6.4
6.8
7.0
6.1
5.3
6.2
7.5
5.5
6.1
8.4
5.4
6.5
6.8
5.3
6.7
7.5
8.9
8.3
5.1
6.3
6.0
7.3
8.7
8.6
8.9
5.9
5.5
9.5
6.8
7.6
5.7
9.0
7.9
6.4
7.7
9.3
6.5
9.4
8.8
6.7
6.9
7.8
6.3
5.6
6.5
8.1
6.1
